Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,FUZZY_LOGIC,50,797.5,0.1614,1.1625,0.0002,4940,4940,0,0,0,0,0,540,540,4400,4400,0,0,28.95999999999993,11.663999999999776,28.95999999999993,6164.000000000646,0.0,0.0,1267.2064777327935,0.208,0.3266,6.3306,0,34.4096,0.6617,3.249,3.249,18.8576,18.8576,12.303,0.2461,1.1108,0,3.1524,4.2632,0,0,0,33.4724,99.0422,-1.0,[98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.93955828148148- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL, ROUND_ROBIN,50,1378.4875,0.279,0,0,4940,4870,0,70,0,0,0,2227,2227,2373,2373,340,270,17.26375384615258,21.891760000000378,17.26375384615258,5541.830000000554,0.0,0.0,1156.9991438356165,0.6478,0.2468,4.5623,0.5307,33.1578,0.6377,2.4546,2.4546,18.4008,18.4008,12.3024,0.246,2.1129,0,1.9168,4.0298,0,0,0,33.4715,99.0492,-1.0,[99.04314814814815- 99.04314814814815- 98.3267164711111- 99.04314814814815- 99.04314814814815- 99.06250146014816- 98.02693353777778- 99.04314814814815- 98.30042014814815- 98.87561883259261- 98.31476359703704- 98.31715417185185- 99.04314814814815- 99.06242315822223- 99.04314814814815- 99.3309282423883- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,OPT,50,2360.975,0.4779,0,0,4940,4814,0,126,0,0,0,995,995,659,659,3286,3160,36.70375384615326,1.5951999999999817,36.70375384615326,6163.760000000655,0.0,0.0,1239.501418727199,1.8777,0.0457,0.6772,1.9788,34.4639,0.6628,0.4548,0.4548,17.3972,17.3972,16.612,0.3322,0.1467,0,5.2591,5.4058,0,0,0,33.3232,98.756,-1.0,[98.76149452207409- 98.93422999407409- 98.93907470340741- 97.9902817668148- 98.93398820503705- 97.98925527288888- 98.77074517422224- 98.63372169362964- 99.06144094251853- 98.93398820503705- 98.62330690785187- 99.05069229925927- 98.93931649244445- 98.29436649362964- 98.62851430074075- 99.33066002115461- 99.478640768189- 98.26008821525308- 97.65289035522933- 99.03456441646895- 98.25593138236458- 98.8653752971036- 99.33079413177146- 98.7266374990609- 99.47884193411427],[]
