Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,FUZZY_LOGIC,50,797.5,0.1614,0.3875,0.0001,4940,4940,0,0,0,0,0,540,540,4400,4400,0,0,28.95999999999995,11.663999999999776,28.95999999999995,6164.000000000645,0.0,0.0,1267.2064777327935,0.208,0.3266,6.3306,0,34.4096,0.6617,3.249,3.249,18.8576,18.8576,12.303,0.2461,1.1108,0,3.1524,4.2632,0,0,0,33.46,98.9764,-1.0,[98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL, ROUND_ROBIN,50,1573.7875,0.3186,0,0,4940,4900,0,40,0,0,0,1839,1839,2701,2701,400,360,21.89569230769142,14.652479999999906,21.89569230769142,5389.610000000523,0.0,0.0,1180.842332613391,0.8131,0.1894,4.6593,0.7057,32.6206,0.6273,1.8841,1.8841,18.4259,18.4259,12.3106,0.2462,1.41,0,2.432,3.842,0,0,0,33.4702,99.0426,-1.0,[99.04314814814815- 99.04314814814815- 99.04314814814815- 98.31476359703704- 99.06242315822223- 99.04314814814815- 98.74336521481483- 98.32193532148148- 98.30042014814815- 99.04314814814815- 98.0173712385185- 99.04314814814815- 99.04314814814815- 98.31715417185185- 99.04314814814815- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.3309282423883],[]
ALL,OPT,50,797.5,0.1614,0,0,4940,4940,0,0,0,0,0,4940,4940,0,0,0,0,0.0,49.31200000000234,0.0,6164.00000000065,0.0,0.0,1000.0,0.0201,0.6431,0,0,35.9229,0.6908,6.3977,6.3977,17.2222,17.2222,12.303,0.2461,4.7516,0,0,4.7516,0,0,0,33.482,99.0933,-1.0,[98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 99.06156183703705- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
