Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,FUZZY_LOGIC,50,798.625,0.1617,0.675,0.0001,4940,4939,0,1,0,0,0,540,540,4399,4399,1,0,28.959999999999958,11.663999999999776,28.959999999999958,6164.000000000641,0.0,0.0,1267.2064777327935,0.2096,0.3266,6.3286,0.0017,34.4103,0.6617,3.249,3.249,18.8571,18.8571,12.3042,0.2461,1.1108,0,3.1528,4.2636,0,0,0,33.4715,99.0373,-1.0,[98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.30042014814815- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,100,1610,0.1586,123.5,0.0122,10150,10147,0,3,0,0,0,1050,1050,9100,9097,0,0,60.78153846153271,22.67999999999947,60.78153846153271,12712.000000000719,0.0,0.0,1268.9655172413793,0.2242,0.6351,13.2661,0,51.6926,0.5068,6.3175,6.3175,20.6493,20.6493,24.7258,0.2473,2.1599,0,6.6171,8.7771,0,0,0,33.4772,99.0677,-1.0,[98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.30042014814815- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,150,2407.5,0.1595,484.925,0.0321,15090,15009,0,81,0,0,0,1590,1590,13500,13419,0,0,89.74153846150743,34.34399999999992,89.74153846150743,18876.00000000013,0.0,0.0,1268.389662027833,0.2235,0.9617,19.5968,0,68.8799,0.4532,9.5665,9.5665,22.2847,22.2847,37.0287,0.2469,3.2707,0,9.7696,13.0403,0,0,0,33.4724,99.0422,-1.0,[98.93955828148148- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 99.06156183703705- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.30042014814815- 99.06156183703705- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,200,3223.4875,0.1588,1075.5125,0.053,20300,20031,0,269,0,0,0,2100,2100,18196,17931,4,0,121.56307692301587,45.36000000000323,121.56307692301587,25423.999999999338,0.0,0.0,1268.9655172413793,0.2291,1.2702,26.526,0.0013,86.1651,0.4266,12.635,12.635,24.0748,24.0748,49.4553,0.2473,4.3198,0,13.2354,17.5552,0,0,0,33.4764,99.0638,-1.0,[98.30042014814815- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 99.06156183703705- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.30042014814815- 99.06156183703705- 98.93955828148148- 99.06156183703705- 99.06156183703705- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,250,4018.625,0.1592,1878.325,0.0744,25240,23760,0,1480,0,0,0,2640,2640,22599,21120,1,0,150.52307692305465,57.024000000006765,150.52307692305465,31587.99999999879,0.0,0.0,1268.621236133122,0.227,1.5968,32.8609,0.0003,103.351,0.4101,15.884,15.884,25.7113,25.7113,61.7557,0.247,5.4306,0,16.3871,21.8177,0,0,0,33.4718,99.0392,-1.0,[98.93955828148148- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 99.06156183703705- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.30042014814815- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL,FUZZY_LOGIC,300,4830,0.1586,3026.8375,0.0994,30450,26352,0,4098,0,0,0,3150,3150,27300,23202,0,0,182.3446153846571,68.04000000000735,182.3446153846571,38135.9999999975,0.0,0.0,1268.9655172413793,0.2291,1.9052,39.7984,0,120.6332,0.3994,18.9525,18.9525,27.5035,27.5035,74.1773,0.2473,6.4797,0,19.8514,26.3312,0,0,0,33.4735,99.0482,-1.0,[98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.93955828148148- 99.06156183703705- 99.06156183703705- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.93955828148148- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.30042014814815- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.93955828148148- 99.06156183703705- 98.93955828148148- 99.06156183703705- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.93955828148148- 98.30042014814815- 98.30042014814815- 98.30042014814815- 98.30042014814815- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL, ROUND_ROBIN,50,1283.425,0.2598,0,0,4940,4870,0,70,0,0,0,2154,2154,2506,2506,280,210,19.612799999998987,18.870720000000215,19.612799999998987,5545.9200000005585,0.0,0.0,1161.360223128084,0.5881,0.2366,5.5194,0.4354,33.1533,0.6376,2.3531,2.3531,18.6481,18.6481,12.1521,0.243,1.8178,0,2.1317,3.9495,0,0,0,33.4784,99.0743,-1.0,[99.04314814814815- 99.0625797620741- 99.04314814814815- 98.3267164711111- 99.04314814814815- 99.04314814814815- 98.30281072296297- 99.0625797620741- 98.31954474666666- 98.30042014814815- 99.04314814814815- 99.06230226370371- 99.04314814814815- 99.04314814814815- 98.32910704592592- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
ALL, ROUND_ROBIN,100,3371.2625,0.3321,0.1875,0,10150,9866,0,284,0,0,0,4246,4246,3764,3764,2140,1856,38.98129230769137,40.64392000000116,38.98129230769137,11414.9500000009,0.0,0.0,1166.9521621057029,1.0003,0.4161,7.002,0.91,49.5209,0.4855,4.1396,4.1396,19.0311,19.0311,26.3503,0.2635,3.9262,0,4.8129,8.7391,0,0,0,33.4499,99.0321,-1.0,[98.63977534814815- 98.28095043555555- 99.04314814814815- 99.04314814814815- 98.30042014814815- 99.04314814814815- 98.30520129777778- 99.04314814814815- 99.06312787555557- 98.32862346785186- 99.04314814814815- 99.04314814814815- 99.04314814814815- 98.30281072296297- 99.06304957362964- 98.74336521481483- 99.06156183703705- 99.04314814814815- 98.63444706074074- 99.04314814814815- 99.04085115229631- 99.04314814814815- 99.04314814814815- 98.63977534814815- 99.04314814814815- 99.06297127170372- 98.34057634192592- 99.04314814814815- 98.3386693451852- 99.06297127170372- 99.47904310003955- 99.47904310003955- 99.47904310003955- 98.25619960359828- 99.47904310003955- 99.3309282423883- 98.8676213518189- 99.47904310003955- 99.47776904917951- 99.47904310003955- 99.47904310003955- 99.47763493856266- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47763493856266- 99.47904310003955- 99.3309282423883- 99.47904310003955- 98.8676213518189],[]
ALL, ROUND_ROBIN,150,5514.825,0.3655,4.775,0.0003,15090,14284,0,806,0,0,0,5546,5546,5264,5264,4280,3474,65.99150769230164,52.32504000000214,65.99150769230164,17264.25000000015,0.0,0.0,1182.441885112697,1.2579,0.553,9.122,1.1784,66.144,0.4352,5.5009,5.5009,19.5787,19.5787,41.0643,0.2738,5.0525,0,8.4307,13.4833,0,0,0,33.4273,98.9635,-1.0,[98.34584106962963- 99.04314814814815- 98.9370194965926- 98.2975186797037- 99.04314814814815- 98.30541577125926- 99.04314814814815- 98.30281072296297- 99.04314814814815- 98.34345049481482- 99.04314814814815- 98.76397135762963- 98.73270864000001- 99.0638325928889- 99.04314814814815- 98.28443528592594- 99.0301945774815- 98.34823164444445- 98.34345049481482- 99.06375429096298- 98.74336521481483- 98.63977534814815- 99.06344108325926- 98.93605234044443- 99.04314814814815- 98.36496566814816- 99.06367598903705- 98.34584106962963- 98.34093902548148- 98.35963738074075- 98.06757330962962- 98.18852611259258- 98.936415024- 98.76404965955555- 99.04314814814815- 99.03781986074075- 99.04314814814815- 99.06328447940743- 99.04314814814815- 98.49058330074075- 98.76350154607408- 99.04314814814815- 99.04314814814815- 99.0635193851852- 99.06359768711111- 99.3309282423883- 98.8676213518189- 99.3309282423883- 99.47904310003955- 99.47904310003955- 97.64477785537763- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.3309282423883- 98.86557646302886- 99.47904310003955- 98.86557646302886- 99.47904310003955- 99.47904310003955- 99.18281338473705- 99.47904310003955- 99.47904310003955- 99.4770984960953- 99.47904310003955- 99.47904310003955- 99.47904310003955- 98.8676213518189- 99.47904310003955- 99.3309282423883- 99.47904310003955- 98.57139163651641- 99.47904310003955- 99.47857371288057],[]
ALL, ROUND_ROBIN,200,7726.8625,0.3806,43.4,0.0021,20300,18534,0,1766,0,0,0,7093,7093,7398,7398,5809,4043,94.77741538459196,63.22936000000356,94.77741538459196,23304.999999999243,0.0,0.0,1188.2111899133176,1.3285,0.6729,13.0034,1.2367,81.8635,0.4053,6.6933,6.6933,20.5814,20.5814,54.5887,0.2729,6.1029,0,11.9753,18.0782,0,0,0,33.4291,98.938,-1.0,[99.04314814814815- 98.27135459585185- 98.45861357629632- 98.35301279407408- 98.17568098666668- 99.06391089481481- 99.04314814814815- 98.08430733333333- 99.06298633125927- 98.24311151081481- 98.10327351407408- 98.91526925037039- 99.06453731022224- 98.00302778962963- 98.16721296296295- 99.0638325928889- 99.06406749866669- 98.4435822814815- 99.06422410251852- 98.2217921362963- 98.31954474666666- 99.04314814814815- 99.05729536029631- 98.84680129422223- 98.33999241481483- 99.04314814814815- 98.05562043555555- 99.04314814814815- 99.04314814814815- 98.74336521481483- 99.02183499851853- 99.04314814814815- 98.49591158814815- 99.06422410251852- 98.17581433096296- 98.38169969185185- 99.04314814814815- 98.87522838162964- 98.63977534814815- 98.94026405748149- 99.0638325928889- 98.36614729777779- 99.06453731022224- 98.67107511555555- 98.08430733333333- 98.74336521481483- 99.04314814814815- 98.91526925037039- 98.79036623407407- 98.06028069066667- 99.04314814814815- 98.54362438577778- 99.06430240444445- 99.04085115229631- 98.89928438814816- 98.35779394370371- 99.03952131259261- 97.91080549037036- 98.11332561629631- 99.04314814814815- 98.71900328123765- 99.3309282423883- 99.47696438547844- 99.47904310003955- 98.8676213518189- 98.39072610611902- 99.47904310003955- 99.47904310003955- 99.4764949983195- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.4768302748616- 99.47904310003955- 99.47904310003955- 99.3309282423883- 99.47904310003955- 99.47904310003955- 99.18281338473705- 98.86966624060892- 98.71722661368129- 99.47904310003955- 99.47904310003955- 99.47904310003955- 98.86557646302886- 99.47703144078686- 99.47904310003955- 99.47904310003955- 98.86557646302886- 99.4764949983195- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47636088770265- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.3309282423883- 99.3309282423883- 99.09460400751286],[]
